case_ref,fraud_type,category,is_scam,channel_name,sub_scenario,detection_method,case_owner_team,case_status,fraud_start_ts,fraud_date,detection_ts,customer_report_ts,resolution_ts,amount_attempted,amount_lost,amount_recovered,net_loss,recovery_rate,transaction_count,reimbursed_flag,provisional_credit_flag,cross_border_flag,detect_lag_hours,report_lag_hours,resolution_days,report_lag_band,product_name,balance_band,zelle_enabled,account_status,customer_ref,age_band,segment,state,city,tenure_years,digital_enrolled,prior_fraud_claims
FRD000007275,"Zelle/P2P Scam",Authorized,1,"Online Banking","utility impersonation","Customer Reported",Claims,Closed-Confirmed,"2025-09-30 07:14:33",2025-09-30,"2025-09-30 23:57:49","2025-10-01 04:18:42","2025-10-18 07:23:16",5298.84,5298.84,504.61,4794.23,0.0952,1,0,0,0,16,21,18,"1. <24h","Freedom Unlimited",<$1K,0,active,CUS0002779,18-24,"Consumer Banking",FL,Miami,6.3,1,2
FRD000005334,"Account Takeover",Unauthorized,0,"Online Banking","SIM swap","Customer Reported","Fraud Ops",Closed-Confirmed,"2025-01-10 03:37:19",2025-01-10,"2025-01-16 04:16:03","2025-01-16 14:53:25","2025-01-30 04:48:08",2307.47,2307.47,1183.57,1123.90,0.5129,1,1,0,1,144,155,20,"3. 3-7d","Private Client Checking",$1K-5K,1,active,CUS0000675,25-34,"Private Client Banking",CA,"Los Angeles",2.7,1,1
FRD000001713,Card-Not-Present,Unauthorized,0,"Online Banking","digital wallet","Rules Engine","Card Services","Under Review","2024-11-12 04:51:46",2024-11-12,"2024-11-12 08:44:15",NULL,NULL,467.95,467.95,467.95,0.00,1.0000,2,1,0,0,3,NULL,NULL,"Never Reported","Freedom Unlimited",<$1K,0,active,CUS0002608,65+,"Consumer Banking",TX,Houston,4.3,1,0
FRD000008443,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking",bust-out,"Statement Review","Fraud Ops",Closed-Confirmed,"2025-03-15 04:39:35",2025-03-15,"2025-04-26 16:53:22",NULL,"2025-05-06 11:49:08",54623.53,54623.53,13376.91,41246.62,0.2449,3,1,0,0,1020,NULL,52,"Never Reported","Total Checking",$1K-5K,1,active,CUS0000734,35-44,"Consumer Banking",FL,Tampa,5.0,0,0
FRD000006269,"Zelle/P2P Scam",Authorized,1,"Online Banking","utility impersonation","Customer Reported",Claims,Closed-Confirmed,"2024-06-20 11:41:21",2024-06-20,"2024-06-20 15:44:01","2024-06-21 02:27:12","2024-07-06 01:00:08",822.66,597.76,78.07,519.69,0.1306,1,0,0,0,4,14,15,"1. <24h","Freedom Unlimited",<$1K,0,active,CUS0000302,18-24,"Consumer Banking",FL,Orlando,0.5,1,0
FRD000005946,"Zelle/P2P Scam",Authorized,1,"Online Banking","ticket resale","Customer Reported",Claims,"Closed-No Fraud","2026-06-05 08:53:34",2026-06-05,"2026-06-05 23:43:21","2026-06-06 13:06:21","2026-06-12 19:01:36",171.99,0.00,0.00,0.00,NULL,1,0,0,1,14,28,7,"2. 24-72h","Private Client Savings",$1K-5K,1,active,CUS0001622,35-44,"Private Client Banking",CA,"San Francisco",10.7,1,0
FRD000001699,Card-Not-Present,Unauthorized,0,"Online Banking","digital wallet","ML Model","Card Services",Closed-Confirmed,"2024-02-10 20:01:04",2024-02-10,"2024-02-12 05:29:01","2024-02-12 11:31:07","2024-03-07 23:26:11",721.83,721.83,508.56,213.27,0.7045,3,1,0,0,33,39,26,"2. 24-72h","Premier Savings",$25K-100K,1,active,CUS0002711,35-44,"Consumer Banking",NJ,Newark,6.6,1,0
FRD000006387,"Zelle/P2P Scam",Authorized,1,"Online Banking","ticket resale","Rules Engine",Claims,Closed-Confirmed,"2025-07-14 21:06:30",2025-07-14,"2025-07-15 10:55:41",NULL,"2025-07-23 09:18:14",546.02,546.02,79.64,466.38,0.1459,1,0,0,0,13,NULL,8,"Never Reported","Private Client Savings",<$1K,1,active,CUS0002671,55-64,"Private Client Banking",KS,"Overland Park",1.9,1,0
FRD000001348,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","ML Model","Card Services",Closed-Confirmed,"2024-10-24 04:34:01",2024-10-24,"2024-10-25 05:49:51","2024-10-25 10:02:16","2024-11-01 01:54:18",120.21,58.43,51.19,7.24,0.8761,1,1,0,0,25,29,7,"2. 24-72h","Sapphire Preferred",<$1K,0,active,CUS0001138,25-34,"Consumer Banking",KS,Topeka,0.1,1,0
FRD000006232,"Zelle/P2P Scam",Authorized,1,"Online Banking","rental deposit","Customer Reported",Claims,Closed-Confirmed,"2026-04-04 09:43:38",2026-04-04,"2026-04-04 14:20:41","2026-04-05 00:45:35","2026-04-27 15:24:18",608.54,608.54,66.83,541.71,0.1098,1,0,0,0,4,15,23,"1. <24h","Auto Loan",$25K-100K,0,active,CUS0001224,25-34,"Consumer Banking",TX,Houston,2.8,1,0
FRD000009200,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","new account fraud","ML Model","Fraud Ops","Closed-No Fraud","2024-09-27 01:32:05",2024-09-27,"2024-12-15 04:49:49","2024-12-22 00:15:04","2024-12-23 22:28:46",5611.89,0.00,0.00,0.00,NULL,4,0,0,0,1899,2062,87,"4. 7d+","Premier Savings",$1K-5K,1,active,CUS0001377,25-34,"Consumer Banking",WA,Spokane,4.8,1,0
FRD000000313,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Merchant Alert","Card Services",Closed-Confirmed,"2024-03-30 13:52:34",2024-03-30,"2024-03-30 19:56:27",NULL,"2024-04-17 19:37:28",235.33,235.33,235.33,0.00,1.0000,3,1,0,0,6,NULL,18,"Never Reported","Private Client Checking",$25K-100K,1,active,CUS0001724,45-54,"Private Client Banking",FL,Orlando,6.0,1,0
FRD000004313,Phishing/Smishing,Unauthorized,1,"Online Banking","credential harvest","ML Model","Fraud Ops",Closed-Confirmed,"2025-09-16 10:17:57",2025-09-16,"2025-09-20 10:12:11","2025-09-22 10:21:21","2025-10-19 08:30:32",676.91,676.91,289.09,387.82,0.4271,1,1,1,0,95,144,32,"3. 3-7d","Freedom Unlimited",$5K-25K,0,active,CUS0001072,25-34,"Consumer Banking",FL,Miami,2.5,1,0
FRD000001734,Card-Not-Present,Unauthorized,0,"Online Banking","online retail","Customer Reported","Card Services",Closed-Confirmed,"2024-02-01 18:21:13",2024-02-01,"2024-02-02 09:34:48","2024-02-02 22:26:46","2024-02-29 20:48:15",69.80,69.80,69.80,0.00,1.0000,1,1,1,0,15,28,28,"2. 24-72h","Sapphire Preferred",$25K-100K,0,active,CUS0002918,25-34,"Consumer Banking",MI,Detroit,2.5,1,0
FRD000000279,Card-Not-Present,Unauthorized,0,"Online Banking","online retail","Merchant Alert","Card Services",Closed-Confirmed,"2024-10-08 19:43:11",2024-10-08,"2024-10-09 05:47:53",NULL,"2024-10-24 02:52:25",243.51,38.60,37.35,1.25,0.9676,1,0,0,0,10,NULL,15,"Never Reported","Total Checking",$1K-5K,1,active,CUS0002343,35-44,"Consumer Banking",TX,Houston,9.4,1,0
FRD000001255,Card-Not-Present,Unauthorized,0,"Online Banking","digital wallet","Merchant Alert","Card Services",Closed-Confirmed,"2026-06-15 13:14:03",2026-06-15,"2026-06-15 19:40:40",NULL,"2026-07-12 10:07:05",158.15,158.15,120.06,38.09,0.7592,2,1,0,0,6,NULL,26,"Never Reported","Auto Loan",<$1K,0,active,CUS0001631,45-54,"Consumer Banking",CA,"San Francisco",4.6,0,0
FRD000002852,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Rules Engine","Card Services",Open,"2024-04-13 04:25:55",2024-04-13,"2024-04-14 07:27:04",NULL,NULL,30.60,3.32,2.26,1.06,0.6807,2,1,0,0,27,NULL,NULL,"Never Reported","Premier Savings",$5K-25K,1,active,CUS0001866,55-64,"Consumer Banking",PA,Philadelphia,1.9,0,1
FRD000004819,Phishing/Smishing,Unauthorized,1,"Online Banking","SMS link","Customer Reported","Fraud Ops",Closed-Confirmed,"2024-02-04 04:12:40",2024-02-04,"2024-02-05 23:25:12","2024-02-07 18:25:14","2024-02-28 04:46:36",7936.01,7936.01,4961.09,2974.92,0.6251,1,1,1,0,43,86,24,"3. 3-7d","Freedom Unlimited",$5K-25K,0,active,CUS0001621,25-34,"Consumer Banking",CA,"Los Angeles",3.1,1,0
FRD000005210,"Account Takeover",Unauthorized,0,"Online Banking","credential stuffing","ML Model","Fraud Ops",Closed-Confirmed,"2024-01-24 16:08:10",2024-01-24,"2024-01-30 13:52:12","2024-01-31 13:26:51","2024-02-09 15:06:23",5341.47,5341.47,2700.57,2640.90,0.5056,4,1,0,0,141,165,15,"3. 3-7d","Financial Investment Account",<$1K,0,active,CUS0001280,25-34,"Private Client Banking",NY,"New York",13.9,1,0
FRD000002982,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Customer Reported","Card Services",Closed-Confirmed,"2024-06-28 18:59:33",2024-06-28,"2024-06-29 08:21:21","2024-06-29 14:36:48","2024-07-20 04:05:22",115.38,115.38,98.53,16.85,0.8540,1,1,1,0,13,19,21,"1. <24h","Private Client Checking",$25K-100K,1,active,CUS0002181,45-54,"Private Client Banking",TX,Houston,0.3,0,0
FRD000005782,"Account Takeover",Unauthorized,0,"Online Banking","password reset abuse","Customer Reported","Fraud Ops",Closed-Confirmed,"2026-05-30 03:12:35",2026-05-30,"2026-06-07 09:59:53","2026-06-08 14:32:17","2026-06-30 19:10:22",3612.14,3612.14,1994.32,1617.82,0.5521,4,0,1,0,198,227,31,"4. 7d+","Sapphire Preferred",$5K-25K,0,active,CUS0000286,55-64,"Consumer Banking",CA,"Los Angeles",3.7,1,0
FRD000004248,Phishing/Smishing,Unauthorized,1,"Online Banking","SMS link","ML Model","Fraud Ops",Closed-Confirmed,"2025-11-10 21:00:09",2025-11-10,"2025-11-14 06:46:36",NULL,"2025-11-22 05:13:37",3796.34,3796.34,2533.71,1262.63,0.6674,1,1,0,0,81,NULL,11,"Never Reported","Sapphire Preferred",$25K-100K,0,active,CUS0001257,65+,"Consumer Banking",TX,Houston,5.5,1,1
FRD000008673,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","synthetic identity","ML Model","Fraud Ops",Closed-Confirmed,"2025-01-10 10:22:43",2025-01-10,"2025-02-01 01:39:37","2025-02-05 20:52:43","2025-02-14 15:47:17",49043.14,49043.14,9378.40,39664.74,0.1912,4,1,0,0,519,634,35,"4. 7d+","Auto Loan",$1K-5K,0,active,CUS0001037,65+,"Consumer Banking",NJ,Newark,0.9,1,0
FRD000004626,Phishing/Smishing,Unauthorized,1,"Online Banking","fake login page","ML Model","Fraud Ops",Closed-Confirmed,"2026-02-16 06:18:34",2026-02-16,"2026-02-18 04:24:07",NULL,"2026-03-20 15:39:29",792.11,792.11,511.24,280.87,0.6454,2,1,0,0,46,NULL,32,"Never Reported","Total Checking",$5K-25K,1,active,CUS0002603,25-34,"Consumer Banking",KS,"Overland Park",0.2,1,0
FRD000000061,Card-Not-Present,Unauthorized,0,"Online Banking","online retail","ML Model","Card Services",Closed-Confirmed,"2025-09-19 07:14:40",2025-09-19,"2025-09-19 20:32:21",NULL,"2025-10-06 08:53:06",125.83,114.63,97.81,16.82,0.8533,6,1,0,1,13,NULL,17,"Never Reported","Premier Savings",<$1K,1,active,CUS0002477,55-64,"Consumer Banking",NJ,Trenton,35.0,1,0
FRD000003817,Phishing/Smishing,Unauthorized,1,"Online Banking","SMS link","Rules Engine","Fraud Ops",Closed-Confirmed,"2025-04-24 21:41:50",2025-04-24,"2025-04-28 05:13:28",NULL,"2025-05-04 19:58:22",1056.63,1056.63,456.55,600.08,0.4321,2,0,0,0,79,NULL,9,"Never Reported","Freedom Unlimited",<$1K,0,active,CUS0000379,45-54,"Consumer Banking",TX,Dallas,1.8,1,0
FRD000006156,"Zelle/P2P Scam",Authorized,1,"Online Banking","ticket resale","Customer Reported",Claims,Closed-Confirmed,"2024-02-29 23:18:07",2024-02-29,"2024-03-01 03:47:23","2024-03-01 13:17:10","2024-03-15 04:13:10",102.31,88.75,12.54,76.21,0.1413,1,0,0,0,4,13,14,"1. <24h","Total Checking",$5K-25K,1,active,CUS0001013,55-64,"Consumer Banking",MI,Detroit,3.9,1,0
FRD000004129,Phishing/Smishing,Unauthorized,1,"Online Banking","credential harvest","Rules Engine","Fraud Ops",Open,"2026-03-16 12:11:11",2026-03-16,"2026-03-20 08:28:45","2026-03-20 12:00:36",NULL,2949.48,2949.48,1694.35,1255.13,0.5745,2,1,1,0,92,95,NULL,"3. 3-7d","Total Checking",$5K-25K,1,active,CUS0001614,65+,"Consumer Banking",NY,Albany,4.7,1,0
FRD000001401,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Rules Engine","Card Services",Closed-Confirmed,"2025-12-10 14:28:16",2025-12-10,"2025-12-10 22:46:20",NULL,"2025-12-21 23:39:59",608.80,608.80,588.34,20.46,0.9664,2,1,0,0,8,NULL,11,"Never Reported","Auto Loan",<$1K,0,active,CUS0000137,45-54,"Consumer Banking",FL,Tampa,10.0,1,2
FRD000001133,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Rules Engine","Card Services","Closed-No Fraud","2025-11-03 11:33:19",2025-11-03,"2025-11-05 21:47:49","2025-11-06 03:46:40","2025-11-15 14:48:43",351.60,0.00,0.00,0.00,NULL,4,0,0,0,58,64,12,"2. 24-72h","Business Platinum",$5K-25K,0,active,CUS0002015,45-54,"Financial Banking",TX,Houston,0.2,1,0
FRD000005462,"Account Takeover",Unauthorized,0,"Online Banking","credential stuffing","ML Model","Fraud Ops",Closed-Confirmed,"2025-07-04 14:41:17",2025-07-04,"2025-07-14 11:21:29",NULL,"2025-07-27 00:18:36",4459.30,4459.30,2110.01,2349.29,0.4732,2,1,0,0,236,NULL,22,"Never Reported","Auto Loan",$5K-25K,0,active,CUS0000599,25-34,"Consumer Banking",CA,"Los Angeles",0.0,1,0
FRD000002421,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","ML Model","Card Services","Closed-No Fraud","2024-12-31 03:39:26",2024-12-31,"2024-12-31 07:36:02","2024-12-31 12:35:58","2025-01-14 03:37:25",31.90,0.00,0.00,0.00,NULL,1,0,0,0,3,8,13,"1. <24h","Premier Savings",<$1K,1,closed,CUS0002772,65+,"Consumer Banking",KS,Topeka,15.8,1,0
FRD000009838,"Tech Support/Impersonation",Authorized,1,"Online Banking","refund overpayment","Customer Reported",Claims,"Under Review","2025-04-21 14:21:20",2025-04-21,"2025-04-23 18:16:31","2025-04-24 16:20:46",NULL,5562.46,5562.46,1137.32,4425.14,0.2045,1,0,0,0,51,73,NULL,"3. 3-7d","Premier Savings",$1K-5K,1,active,CUS0002352,55-64,"Consumer Banking",CA,"San Francisco",10.3,1,0
FRD000002718,Card-Not-Present,Unauthorized,0,"Online Banking","digital wallet","ML Model","Card Services",Closed-Confirmed,"2026-01-16 17:41:48",2026-01-16,"2026-01-17 05:21:10","2026-01-17 08:51:13","2026-02-06 04:48:11",275.36,275.36,232.90,42.46,0.8458,2,1,1,0,11,15,20,"1. <24h","Sapphire Preferred",$1K-5K,0,active,CUS0002795,35-44,"Consumer Banking",KS,"Overland Park",0.2,0,0
FRD000005541,"Account Takeover",Unauthorized,0,"Online Banking","session hijack","Customer Reported","Fraud Ops",Closed-Confirmed,"2024-11-08 13:43:49",2024-11-08,"2024-11-09 11:30:31","2024-11-10 18:35:15","2024-11-30 20:55:17",5472.59,5472.59,3012.36,2460.23,0.5504,6,1,1,0,21,52,22,"2. 24-72h","Sapphire Preferred",$5K-25K,0,active,CUS0001236,65+,"Consumer Banking",NY,"New York",5.8,1,0
FRD000006577,"Zelle/P2P Scam",Authorized,1,"Online Banking","rental deposit","Customer Reported",Claims,Closed-Confirmed,"2025-09-14 16:05:34",2025-09-14,"2025-09-14 21:34:47","2025-09-15 08:12:00","2025-10-13 12:00:38",1699.73,1699.73,222.51,1477.22,0.1309,1,0,0,0,5,16,28,"1. <24h","Private Client Savings",$1K-5K,1,active,CUS0001237,55-64,"Private Client Banking",CA,"San Diego",6.3,1,0
FRD000002182,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","ML Model","Card Services",Closed-Confirmed,"2024-09-06 04:21:06",2024-09-06,"2024-09-06 11:52:49","2024-09-06 16:21:43","2024-09-18 08:19:20",103.00,103.00,73.35,29.65,0.7121,2,1,0,0,7,12,12,"1. <24h","Sapphire Preferred",$25K-100K,0,closed,CUS0000617,25-34,"Consumer Banking",KS,Topeka,2.4,1,0
FRD000004744,Phishing/Smishing,Unauthorized,1,"Online Banking","QR code","ML Model","Fraud Ops",Closed-Confirmed,"2025-03-25 16:13:43",2025-03-25,"2025-03-31 02:24:49",NULL,"2025-04-23 06:17:59",18469.62,7445.21,3739.14,3706.07,0.5022,1,1,0,0,130,NULL,28,"Never Reported","Private Client Savings",$25K-100K,1,active,CUS0001947,35-44,"Private Client Banking",TX,Houston,16.1,1,0
FRD000000295,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Rules Engine","Card Services",Closed-Confirmed,"2025-08-09 18:53:31",2025-08-09,"2025-08-10 13:37:44",NULL,"2025-08-28 16:06:14",78.93,78.93,61.42,17.51,0.7782,3,1,0,0,18,NULL,18,"Never Reported","Sapphire Preferred",$1K-5K,0,active,CUS0000988,35-44,"Consumer Banking",MA,Springfield,2.6,1,0
FRD000006465,"Zelle/P2P Scam",Authorized,1,"Online Banking","rental deposit","Customer Reported",Claims,Closed-Confirmed,"2024-07-18 17:05:35",2024-07-18,"2024-07-18 20:48:31","2024-07-19 06:43:26","2024-07-27 18:31:33",56.58,56.58,5.60,50.98,0.0990,1,0,0,0,3,13,9,"1. <24h","Total Checking",$1K-5K,1,active,CUS0001573,55-64,"Consumer Banking",CA,"San Diego",3.6,1,0
FRD000000616,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Customer Reported","Card Services",Closed-Confirmed,"2024-11-16 09:28:34",2024-11-16,"2024-11-16 12:25:47","2024-11-16 14:34:17","2024-12-22 10:02:00",349.08,349.08,298.49,50.59,0.8551,1,1,1,0,2,5,36,"1. <24h","Total Checking",$25K-100K,1,closed,CUS0000767,65+,"Consumer Banking",FL,Miami,1.6,1,1
FRD000002798,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Customer Reported","Card Services",Closed-Confirmed,"2024-08-11 19:33:15",2024-08-11,"2024-08-12 05:27:30","2024-08-12 13:41:36","2024-08-29 10:26:37",1228.05,1228.05,1228.05,0.00,1.0000,1,1,1,0,9,18,17,"1. <24h","Business Checking",$1K-5K,1,closed,CUS0000959,55-64,"Financial Banking",TX,Dallas,4.7,1,0
FRD000000484,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","ML Model","Card Services",Closed-Confirmed,"2025-07-22 23:55:46",2025-07-22,"2025-07-23 19:13:00",NULL,"2025-08-11 06:45:30",203.08,184.36,136.76,47.60,0.7418,2,1,0,0,19,NULL,19,"Never Reported","Total Checking",<$1K,1,active,CUS0002703,55-64,"Consumer Banking",NJ,Trenton,9.9,1,0
FRD000002238,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Merchant Alert","Card Services",Closed-Confirmed,"2024-10-07 05:34:15",2024-10-07,"2024-10-07 14:20:44","2024-10-07 16:01:09","2024-10-15 01:38:15",142.12,66.84,52.99,13.85,0.7928,5,1,1,0,8,10,7,"1. <24h","Total Checking",<$1K,1,active,CUS0002157,55-64,"Consumer Banking",CA,"San Diego",0.8,1,0
FRD000005569,"Account Takeover",Unauthorized,0,"Online Banking","SIM swap","Customer Reported","Fraud Ops",Closed-Confirmed,"2026-06-30 21:37:34",2026-06-30,"2026-07-05 09:53:01","2026-07-06 05:55:33","2026-08-06 08:17:49",2292.68,2292.68,1069.81,1222.87,0.4666,5,1,1,0,108,128,36,"3. 3-7d","Premier Savings",$5K-25K,1,active,CUS0001931,65+,"Consumer Banking",FL,Miami,3.5,1,0
FRD000005526,"Account Takeover",Unauthorized,0,"Online Banking","credential stuffing","Rules Engine","Fraud Ops",Closed-Confirmed,"2025-07-18 02:37:42",2025-07-18,"2025-07-25 09:57:19",NULL,"2025-08-16 16:29:23",6274.60,5380.85,2105.76,3275.09,0.3913,1,1,0,1,175,NULL,29,"Never Reported","Freedom Unlimited",$5K-25K,0,active,CUS0001842,65+,"Consumer Banking",WA,Spokane,0.6,1,0
FRD000000603,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Customer Reported","Card Services",Closed-Confirmed,"2025-12-08 03:38:39",2025-12-08,"2025-12-08 16:48:58","2025-12-08 17:54:57","2025-12-31 07:26:59",33.41,33.41,33.41,0.00,1.0000,1,1,1,0,13,14,23,"1. <24h","Sapphire Preferred",$5K-25K,0,active,CUS0001070,35-44,"Consumer Banking",CA,"San Diego",9.6,1,2
FRD000002201,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Customer Reported","Card Services",Closed-Confirmed,"2025-10-21 06:49:18",2025-10-21,"2025-10-21 21:39:34","2025-10-22 00:10:30","2025-11-27 15:51:22",97.40,97.40,67.03,30.37,0.6882,5,1,1,0,14,17,37,"1. <24h","Total Checking",$5K-25K,1,active,CUS0002199,25-34,"Consumer Banking",NJ,"Jersey City",8.6,1,0
FRD000005661,"Account Takeover",Unauthorized,0,"Online Banking","password reset abuse","ML Model","Fraud Ops",Closed-Confirmed,"2025-08-26 05:58:28",2025-08-26,"2025-09-01 08:51:03","2025-09-01 13:15:39","2025-09-22 20:48:46",13510.36,11200.70,6054.50,5146.20,0.5405,4,1,0,0,146,151,27,"3. 3-7d","Premier Savings",$25K-100K,1,active,CUS0002072,35-44,"Consumer Banking",CA,"San Francisco",0.2,0,0
FRD000004555,Phishing/Smishing,Unauthorized,1,"Online Banking","fake login page","ML Model","Fraud Ops",Closed-Confirmed,"2025-04-05 23:38:17",2025-04-05,"2025-04-06 12:07:35",NULL,"2025-04-19 00:30:04",1976.94,1976.94,1033.34,943.60,0.5227,1,1,0,0,12,NULL,13,"Never Reported","Sapphire Preferred",$25K-100K,0,active,CUS0002912,25-34,"Consumer Banking",TX,Austin,3.0,0,0
